course_name,segment_name,start_address,distance_km,difficulty_level
1코스,1코스 휠체어 구간 (종달리 옛 소금밭 ~ 성산갑문 입구),제주시 구좌읍 종달리 814-5,4.6,중
10-1코스,10-1코스 휠체어 구간 (가파도 전 구간),가파도 상동포구,4.2,상
4코스,4코스 휠체어 구간 (해비치호텔&리조트 ~ 가마리개 쉼터),서귀포시 표선면 표선리 40-76,4.8,중
5코스,5코스 휠체어 구간 (국립수산과학원 ~ 위미항),서귀포시 남원읍 위미리 785-1,2.7,상
6코스,6코스 휠체어 구간 (쇠소깍 ~ 보목포구),서귀포시 하효동 999,2.6,중
8코스,8코스 휠체어 구간 (논짓물 ~ 대평포구),서귀포시 하예동 532-3,3.6,상
10코스,10코스 휠체어 구간 (사계포구 ~ 송악산 주차장),서귀포시 안덕면 사계리 2125,2.9,중
12코스,12코스 휠체어 구간 (엉알길 입구 ~ 자구내포구 입구),제주시 한경면 고산리 3674-2,1.1,중
14코스,14코스 휠체어 구간 (일성콘도 ~ 금능해수욕장 입구),제주시 한림읍 금능리 1621-6,2.1,중
17코스,17코스 휠체어 구간 (도두봉 내려오는 길 ~ 용연다리),제주시 도두2동 1611,4.4,중
